fid,id,city,_count,_sum,_mean
1,1,chennaiint,1073,330523.059906006,308.036402521907
2,4,Guwhati,,,
3,5,Tirupati,323,99644.6201171875,308.497275904605
4,3,Thiruvananthpuram,,,
5,2,Bengaluru,1254,385923.580078125,307.754051098983
