fid,id,city,ID_0,ISO,NAME_0,OBJECTID_1,ISO3,NAME_ENGLI,NAME_ISO,NAME_FAO,NAME_LOCAL,NAME_OBSOL,NAME_VARIA,NAME_NONLA,NAME_FRENC,NAME_SPANI,NAME_RUSSI,NAME_ARABI,NAME_CHINE,WASPARTOF,CONTAINS,SOVEREIGN,ISO2,WWW,FIPS,ISON,VALIDFR,VALIDTO,POP2000,SQKM,POPSQKM,UNREGION1,UNREGION2,DEVELOPING,CIS,Transition,OECD,WBREGION,WBINCOME,WBDEBT,WBOTHER,CEEAC,CEMAC,CEPLG,COMESA,EAC,ECOWAS,IGAD,IOC,MRU,SACU,UEMOA,UMA,PALOP,PARTA,CACM,EurAsEC,Agadir,SAARC,ASEAN,NAFTA,GCC,CSN,CARICOM,EU,CAN,ACP,Landlocked,AOSIS,SIDS,Islands,LDC,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1,1,chennaiint,105,IND,India,107,IND,India,INDIA,India,Bharat,,Bharat|Damão and Diu|Goa|Hindustan,,Inde,India,?????,?????,??,,,India,IN,,IN,356.00000000000,Unknown,Present,1008937356.00000011921,3089282.00000000000,326.59283160300,Southern Asia,Asia,1.00000000000,0.00000000000,0.00000000000,0.00000000000,South Asia,Low income,Less indebted,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4323,1324966.35934448,306.492333875661,306.579986572266,1.34257505482836,301.399993896484,311.579986572266,10.1799926757812,301.399993896484,307.320007324219,362,1.80250777784739
2,4,Guwhati,105,IND,India,107,IND,India,INDIA,India,Bharat,,Bharat|Damão and Diu|Goa|Hindustan,,Inde,India,?????,?????,??,,,India,IN,,IN,356.00000000000,Unknown,Present,1008937356.00000011921,3089282.00000000000,326.59283160300,Southern Asia,Asia,1.00000000000,0.00000000000,0.00000000000,0.00000000000,South Asia,Low income,Less indebted,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,,,,,
3,5,Tirupati,105,IND,India,107,IND,India,INDIA,India,Bharat,,Bharat|Damão and Diu|Goa|Hindustan,,Inde,India,?????,?????,??,,,India,IN,,IN,356.00000000000,Unknown,Present,1008937356.00000011921,3089282.00000000000,326.59283160300,Southern Asia,Asia,1.00000000000,0.00000000000,0.00000000000,0.00000000000,South Asia,Low income,Less indebted,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6026,1840995.72122192,305.508748958169,305.600006103516,2.08394951100245,299.559997558594,310.040008544922,10.4800109863281,299.559997558594,306.220001220703,467,4.34284556440736
4,3,Thiruvananthpuram,105,IND,India,107,IND,India,INDIA,India,Bharat,,Bharat|Damão and Diu|Goa|Hindustan,,Inde,India,?????,?????,??,,,India,IN,,IN,356.00000000000,Unknown,Present,1008937356.00000011921,3089282.00000000000,326.59283160300,Southern Asia,Asia,1.00000000000,0.00000000000,0.00000000000,0.00000000000,South Asia,Low income,Less indebted,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,,,,,
5,2,Bengaluru,105,IND,India,107,IND,India,INDIA,India,Bharat,,Bharat|Damão and Diu|Goa|Hindustan,,Inde,India,?????,?????,??,,,India,IN,,IN,356.00000000000,Unknown,Present,1008937356.00000011921,3089282.00000000000,326.59283160300,Southern Asia,Asia,1.00000000000,0.00000000000,0.00000000000,0.00000000000,South Asia,Low income,Less indebted,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,7339,2272691.0201416,309.67311897283,309.720001220703,1.13106734545432,303.540008544922,312.820007324219,9.27999877929688,303.540008544922,309.940002441406,340,1.27931333995309
